checkpoint,color_attr,colors,counting,position,single_object,two_object
./results/dpo_method_2_up/checkpoint-800,0.04,0.6462765957446809,0.490625,0.0375,0.978125,0.42424242424242425
./results/dpo_method_2_up/checkpoint-900,0.04,0.648936170212766,0.465625,0.0375,0.959375,0.40404040404040403
./results/dpo_method_2_up/checkpoint-1000,0.04,0.6196808510638298,0.44375,0.0625,0.98125,0.4898989898989899
./results/dpo_method_2_up/checkpoint-1100,0.05,0.6303191489361702,0.45625,0.0425,0.96875,0.4797979797979798
./results/dpo_method_2_up/checkpoint-1200,0.0325,0.6117021276595744,0.415625,0.055,0.99375,0.43686868686868685
./results/dpo_method_2_up/checkpoint-1300,0.0425,0.6276595744680851,0.4625,0.05,0.984375,0.4318181818181818
./results/dpo_method_2_up/checkpoint-1400,0.045,0.5611702127659575,0.425,0.06,0.975,0.48484848484848486
./results/dpo_method_2_up/checkpoint-1500,0.0575,0.6063829787234043,0.409375,0.035,0.9625,0.45454545454545453
./results/dpo_method_2_up/checkpoint-1600,0.0575,0.5957446808510638,0.434375,0.0475,0.98125,0.49747474747474746
./results/dpo_method_2_up/checkpoint-1700,0.065,0.6329787234042553,0.4375,0.0775,0.975,0.47474747474747475
./results/dpo_method_2_up/checkpoint-1800,0.03,0.5691489361702128,0.396875,0.0425,0.959375,0.4166666666666667
./results/dpo_method_2_up/checkpoint-1900,0.035,0.5718085106382979,0.440625,0.0425,0.9625,0.3939393939393939
./results/dpo_method_2_up/checkpoint-2000,0.05,0.598404255319149,0.425,0.0425,0.9875,0.42676767676767674
./results/dpo_method_1/checkpoint-100,0.125,0.8218085106382979,0.45625,0.08,0.9875,0.547979797979798
./results/dpo_method_1/checkpoint-200,0.1,0.8271276595744681,0.475,0.07,0.990625,0.5732323232323232
./results/dpo_method_1/checkpoint-300,0.07,0.8430851063829787,0.503125,0.0525,0.99375,0.5681818181818182
./results/dpo_method_1/checkpoint-400,0.065,0.8218085106382979,0.490625,0.0625,0.9875,0.5707070707070707
./results/dpo_method_1/checkpoint-500,0.05,0.7526595744680851,0.484375,0.0325,0.99375,0.5808080808080808
./results/dpo_method_1/checkpoint-600,0.045,0.7553191489361702,0.4625,0.05,0.971875,0.5075757575757576
./results/dpo_method_1/checkpoint-700,0.0575,0.7446808510638298,0.453125,0.0425,0.99375,0.4696969696969697
./results/dpo_method_1/checkpoint-800,0.0275,0.6968085106382979,0.43125,0.045,0.971875,0.4797979797979798
./results/dpo_method_1/checkpoint-900,0.0325,0.7074468085106383,0.403125,0.03,0.96875,0.46464646464646464
./results/dpo_method_1/checkpoint-1000,0.0325,0.6835106382978723,0.371875,0.04,0.96875,0.3383838383838384
./results/dpo_method_1/checkpoint-1100,0.0425,0.675531914893617,0.35,0.0425,0.975,0.35353535353535354
./results/dpo_method_1/checkpoint-1200,0.0375,0.6117021276595744,0.3125,0.0325,0.96875,0.39646464646464646
./results/dpo_method_1/checkpoint-1300,0.03,0.6835106382978723,0.375,0.045,0.975,0.3712121212121212
./results/dpo_method_1/checkpoint-1400,0.025,0.6622340425531915,0.365625,0.05,0.965625,0.41919191919191917
./results/dpo_method_1/checkpoint-1500,0.0475,0.6196808510638298,0.371875,0.045,0.95625,0.4217171717171717
./results/dpo_method_1/checkpoint-1600,0.03,0.5611702127659575,0.35625,0.0425,0.95,0.4166666666666667
./results/dpo_method_1/checkpoint-1700,0.04,0.6382978723404256,0.378125,0.0625,0.95,0.4090909090909091
./results/dpo_method_1/checkpoint-1800,0.0325,0.5718085106382979,0.3875,0.035,0.971875,0.42424242424242425
./results/dpo_method_1/checkpoint-1900,0.0525,0.5718085106382979,0.359375,0.045,0.959375,0.43434343434343436
./results/dpo_method_1/checkpoint-2000,0.0525,0.601063829787234,0.353125,0.0475,0.953125,0.44696969696969696
